sol_training_loss,sol_taining_err,sol_val_err,sol_run_time,eff_training_loss,eff_training_err,eff_val_err,eff_run_time,pce_training_loss,pce_training_err,pce_val_err,pce_run_time,small_weights_rmse,large_weights_rmse,ecfp_rmse,softmax_rmse,hardmax_rmse
2.6581892,0.5334067,0.66664803,,,,,,,,,,,,,,
2.790183872,0.5328993,0.6551213,,,,,,,,,,,,,,
2.837862149,0.5371345,0.6651136,,,,,,,,,,,,,,
2.818450347,0.5425985,0.7352345,,,,,,,,,,,,,,
2.856225505,0.52743495,0.618198,,,,,,,,,,,,,,
2.898487031,0.5400276,0.63467634,,,,,,,,,,,,,,
2.823634356,0.5488511,0.73417103,,,,,,,,,,,,,,
3.113383174,0.56783533,0.6711869,,,,,,,,,,,,,,
3.308231726,0.5687852,0.6888423,,,,,,,,,,,,,,
2.926688969,0.53336596,0.6841662,,,,,,,,,,,,,,
2.86806009,0.5543474,0.7281078,,,,,,,,,,,,,,
3.02234149,0.53476137,0.6416274,,,,,,,,,,,,,,
2.700365782,0.52813685,0.64605397,,,,,,,,,,,,,,
2.672161594,0.52072823,0.6432656,,,,,,,,,,,,,,
2.656744421,0.5142094,0.64919084,,,,,,,,,,,,,,
2.505351067,0.5099387,0.6051563,,,,,,,,,,,,,,
2.720015019,0.5151604,0.7554256,,,,,,,,,,,,,,
3.319774196,0.5416302,0.6766032,,,,,,,,,,,,,,
3.391614109,0.5666116,0.6517905,,,,,,,,,,,,,,
3.443720758,0.5920173,0.6694628,,,,,,,,,,,,,,
2.948892951,0.5502334,0.6513578,,,,,,,,,,,,,,
2.798508704,0.52393264,0.6216182,,,,,,,,,,,,,,
2.746860474,0.5154756,0.69823897,,,,,,,,,,,,,,
2.794197813,0.5233408,0.6481257,,,,,,,,,,,,,,
2.500874922,0.50817436,0.6157682,,,,,,,,,,,,,,
2.395498112,0.49867696,0.6851053,,,,,,,,,,,,,,
2.591213152,0.49904275,0.6529597,,,,,,,,,,,,,,
2.584605753,0.51270914,0.6228143,,,,,,,,,,,,,,
2.482911497,0.4918528,0.6292262,,,,,,,,,,,,,,
2.451781318,0.5066403,0.6500185,,,,,,,,,,,,,,
2.33317472,0.48033693,0.6087733,,,,,,,,,,,,,,
2.356604293,0.4944496,0.75959384,,,,,,,,,,,,,,
2.176969856,0.4814546,0.6253701,,,,,,,,,,,,,,
